| Platz | Buchstabe | Relative Häufigkeit |
| ---: | :--- | ---: |
| 1. | E | 17,40 % |
| 2. | N | 9,78 % |
| 3. | I | 7,55 % |
| 4. | S | 7,27 % |
| 5. | R | 7,00 % |
| 6. | A | 6,51 % |
| 7. | T | 6,15 % |
| 8. | D | 5,08 % |
| 9. | H | 4,76 % |
| 10. | U | 4,35 % |
| 11. | L | 3,44 % |
| 12. | C | 3,06 % |
| 13. | G | 3,01 % |
| 14. | M | 2,53 % |
| 15. | O | 2,51 % |
| 16. | B | 1,89 % |
| 17. | W | 1,89 % |
| 18. | F | 1,66 % |
| 19. | K | 1,21 % |
| 20. | Z | 1,13 % |
| 21. | P | 0,79 % |
| 22. | V | 0,67 % |
| 23. | J | 0,27 % |
| 24. | Y | 0,04 % |
| 25. | X | 0,03 % |
| 26. | Q | 0,02 % |
